,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_delta,param_feature_subsampling_pct,param_max_depth,param_min_samples,param_n_trees,param_window,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,104.65820845,3.06584849,0.03755291,0.000349720172,0.2,0.8168886881742096,4,4,91,16,"{'delta': 0.2, 'feature_subsampling_pct': 0.8168886881742096, 'max_depth': 4, 'min_samples': 4, 'n_trees': 91, 'window': 16}",-1.17787077,-1.14278008,-1.1264433,-1.14903138,0.0214554645,98
1,7.92499193,0.112053651,0.03615189,0.000809933776,0.15,0.24041677639819287,4,8,94,4,"{'delta': 0.15, 'feature_subsampling_pct': 0.24041677639819287, 'max_depth': 4, 'min_samples': 8, 'n_trees': 94, 'window': 4}",0.14161976,0.13500384,0.11634486,0.13098949,0.0107017569,89
2,35.46767918,0.731212693,0.01503285,0.000210185717,inv,0.4003377500251196,5,9,22,16,"{'delta': 'inv', 'feature_subsampling_pct': 0.4003377500251196, 'max_depth': 5, 'min_samples': 9, 'n_trees': 22, 'window': 16}",0.2743942,0.28385731,0.35309029,0.3037806,0.035080593,58
3,4.35640717,0.0312720999,0.00787052,0.000347893276,0.075,0.7497988950401423,3,7,21,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.7497988950401423, 'max_depth': 3, 'min_samples': 7, 'n_trees': 21, 'window': 8}",0.4123009,0.43130186,0.41690833,0.42017036,0.00809278716,20
4,7.32026839,0.0815941343,0.02059603,0.000286054806,0.15,0.6557333586649449,3,7,68,4,"{'delta': 0.15, 'feature_subsampling_pct': 0.6557333586649449, 'max_depth': 3, 'min_samples': 7, 'n_trees': 68, 'window': 4}",0.41522566,0.41479896,0.41459555,0.41487339,0.000262570007,22
5,33.3927687,0.827437881,0.05313174,0.00655504656,0.1,0.45987487454373,5,5,79,4,"{'delta': 0.1, 'feature_subsampling_pct': 0.45987487454373, 'max_depth': 5, 'min_samples': 5, 'n_trees': 79, 'window': 4}",0.40190319,0.37133581,0.37849698,0.38391199,0.0130532988,30
6,43.92057339,1.07459507,0.0147531,0.000699528589,0.125,0.5628109945722505,5,2,22,16,"{'delta': 0.125, 'feature_subsampling_pct': 0.5628109945722505, 'max_depth': 5, 'min_samples': 2, 'n_trees': 22, 'window': 16}",0.30253779,0.19942214,0.27045049,0.25747014,0.0430857782,70
7,2.47297875,0.325200087,0.00784675,0.000279530259,0.1,0.7122767847290017,2,8,37,8,"{'delta': 0.1, 'feature_subsampling_pct': 0.7122767847290017, 'max_depth': 2, 'min_samples': 8, 'n_trees': 37, 'window': 8}",0.37458114,0.3409566,0.37198063,0.36250613,0.015274752,37
8,4.23540839,0.265796494,0.0092876,0.000371333856,0.05,0.9690688297671034,3,3,28,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.9690688297671034, 'max_depth': 3, 'min_samples': 3, 'n_trees': 28, 'window': 'log2'}",0.38845052,0.37919375,0.37253512,0.3800598,0.00652622765,31
9,45.54920991,0.668645247,0.04629922,0.000545552871,0.15,0.3078044430599341,5,8,79,8,"{'delta': 0.15, 'feature_subsampling_pct': 0.3078044430599341, 'max_depth': 5, 'min_samples': 8, 'n_trees': 79, 'window': 8}",0.3520924,0.35392408,0.34773158,0.35124936,0.00259740958,40
10,20.91783301,0.218209592,0.02429247,0.000594871221,0.15,0.849875420562548,4,7,55,log2,"{'delta': 0.15, 'feature_subsampling_pct': 0.849875420562548, 'max_depth': 4, 'min_samples': 7, 'n_trees': 55, 'window': 'log2'}",0.47874979,0.49259213,0.47049901,0.48061364,0.00911526061,10
11,12.77481874,0.316222959,0.02203139,0.000328597566,inv,0.7798252692858872,3,7,73,log2,"{'delta': 'inv', 'feature_subsampling_pct': 0.7798252692858872, 'max_depth': 3, 'min_samples': 7, 'n_trees': 73, 'window': 'log2'}",0.36915148,0.37021854,0.36340027,0.3675901,0.00299450879,35
12,9.84387326,0.0916961265,0.02563842,0.000798355434,0.125,0.26636900997297436,4,3,63,log2,"{'delta': 0.125, 'feature_subsampling_pct': 0.26636900997297436, 'max_depth': 4, 'min_samples': 3, 'n_trees': 63, 'window': 'log2'}",0.26752525,0.27481951,0.26804887,0.27013121,0.0033220133,68
13,18.0593102,0.368242747,0.020245,0.000148188522,0.075,0.905344615384884,3,8,67,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.905344615384884, 'max_depth': 3, 'min_samples': 8, 'n_trees': 67, 'window': 8}",0.31537242,0.38021743,0.35196381,0.34918456,0.0265457101,42
14,4.51649237,0.141182575,0.01336273,0.000806043496,0.05,0.9650548219144142,2,9,72,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.9650548219144142, 'max_depth': 2, 'min_samples': 9, 'n_trees': 72, 'window': 'log2'}",0.3363189,0.32190389,0.32855138,0.32892472,0.00589082363,49
15,71.19033464,0.775229,0.03626227,0.000208069721,0.05,0.3528410587186427,5,6,60,16,"{'delta': 0.05, 'feature_subsampling_pct': 0.3528410587186427, 'max_depth': 5, 'min_samples': 6, 'n_trees': 60, 'window': 16}",0.31504347,0.27409686,0.28466034,0.29126689,0.0173568659,65
16,0.404857,0.00834937329,0.00518505,9.53740541e-06,0.2,0.24874024515670226,2,8,28,sqrt,"{'delta': 0.2, 'feature_subsampling_pct': 0.24874024515670226, 'max_depth': 2, 'min_samples': 8, 'n_trees': 28, 'window': 'sqrt'}",0.17437628,0.14997121,0.20319851,0.17584867,0.0217548816,84
17,3.6774466,0.115836364,0.0118072,0.000817850446,0.125,0.36413935724623436,4,4,27,4,"{'delta': 0.125, 'feature_subsampling_pct': 0.36413935724623436, 'max_depth': 4, 'min_samples': 4, 'n_trees': 27, 'window': 4}",0.24118747,0.28738457,0.26242984,0.2636673,0.0188801747,69
18,4.26873175,0.194259031,0.01214981,0.000168421535,0.1,0.7941433120173511,2,3,60,8,"{'delta': 0.1, 'feature_subsampling_pct': 0.7941433120173511, 'max_depth': 2, 'min_samples': 3, 'n_trees': 60, 'window': 8}",0.34351251,0.34777072,0.32197986,0.33775436,0.0112889125,46
19,142.37339727,4.63524524,0.03107778,0.000668848989,0.2,0.8650347200108194,5,3,52,16,"{'delta': 0.2, 'feature_subsampling_pct': 0.8650347200108194, 'max_depth': 5, 'min_samples': 3, 'n_trees': 52, 'window': 16}",-1.2941123,-1.16981342,-0.92677484,-1.13023352,0.152554097,97
